"","X","Animal","ContainerType","Size","Probability","Adjective","DefArtMeaning","Context","Condition","Model","ListenerLevel","cmpHighScopeConstrualProb","posHighScopeConstrualProb","allowUninformativeThresholds","Container"
"16",15,"rabbit","bag",2,0.420024882478735,"bigger","bumford","cco",3,"haddock_model.wppl",1,0,0,"allow","bag2"
"17",26,"rabbit","box",2,0.503111819146941,"big","bumford","no-cc",1,"haddock_model.wppl",1,0,0,"allow","box2"
"18",16,"rabbit","bag",2,0.496888180853059,"big","bumford","no-cc",1,"haddock_model.wppl",1,0,0,"allow","bag2"
"19",27,"rabbit","box",2,0.52222702227534,"big","bumford","no-cc",2,"haddock_model.wppl",1,0,0,"allow","box2"
"20",17,"rabbit","bag",2,0.47777297772466,"big","bumford","no-cc",2,"haddock_model.wppl",1,0,0,"allow","bag2"
"21",28,"rabbit","box",2,0.649451227663159,"big","bumford","no-cc",3,"haddock_model.wppl",1,0,0,"allow","box2"
"22",18,"rabbit","bag",2,0.350548772336842,"big","bumford","no-cc",3,"haddock_model.wppl",1,0,0,"allow","bag2"
"23",19,"rabbit","box",2,1,"bigger","bumford","no-cc",1,"haddock_model.wppl",1,0,0,"allow","box2"
"24",110,"rabbit","bag",2,0.754036714384735,"bigger","bumford","no-cc",2,"haddock_model.wppl",1,0,0,"allow","bag2"
"25",29,"rabbit","box",2,0.245963285615265,"bigger","bumford","no-cc",2,"haddock_model.wppl",1,0,0,"allow","box2"
"26",111,"rabbit","box",2,1,"bigger","bumford","no-cc",3,"haddock_model.wppl",1,0,0,"allow","box2"
"27",33,"rabbit","box",2,0.505408284055052,"big","standard","cco",1,"haddock_model.wppl",1,0,0,"allow","box2"
"28",112,"rabbit","bag",2,0.305604244472658,"big","standard","cco",1,"haddock_model.wppl",1,0,0,"allow","bag2"
"29",210,"rabbit","bag",1,0.18898747147229,"big","standard","cco",1,"haddock_model.wppl",1,0,0,"allow","bag1"
"30",34,"rabbit","box",2,0.384473512214209,"big","standard","cco",2,"haddock_model.wppl",1,0,0,"allow","box2"
"31",113,"rabbit","bag",2,0.384473512214208,"big","standard","cco",2,"haddock_model.wppl",1,0,0,"allow","bag2"
"32",211,"rabbit","bag",1,0.231052975571583,"big","standard","cco",2,"haddock_model.wppl",1,0,0,"allow","bag1"
"33",41,"rabbit","box",2,0.469697630027167,"big","standard","cco",3,"haddock_model.wppl",1,0,0,"allow","box2"
"34",114,"rabbit","bag",2,0.203004226633764,"big","standard","cco",3,"haddock_model.wppl",1,0,0,"allow","bag2"
"35",35,"rabbit","box",1,0.20175912945559,"big","standard","cco",3,"haddock_model.wppl",1,0,0,"allow","box1"
"36",212,"rabbit","bag",1,0.125539013883478,"big","standard","cco",3,"haddock_model.wppl",1,0,0,"allow","bag1"
"37",213,"rabbit","box",2,0.633620689655172,"bigger","standard","cco",1,"haddock_model.wppl",1,0,0,"allow","box2"
"38",115,"rabbit","bag",2,0.366379310344828,"bigger","standard","cco",1,"haddock_model.wppl",1,0,0,"allow","bag2"
"39",116,"rabbit","bag",2,0.5,"bigger","standard","cco",2,"haddock_model.wppl",1,0,0,"allow","bag2"
"40",214,"rabbit","box",2,0.5,"bigger","standard","cco",2,"haddock_model.wppl",1,0,0,"allow","box2"
"41",215,"rabbit","box",2,0.579975117521265,"bigger","standard","cco",3,"haddock_model.wppl",1,0,0,"allow","box2"
"42",117,"rabbit","bag",2,0.420024882478735,"bigger","standard","cco",3,"haddock_model.wppl",1,0,0,"allow","bag2"
"43",118,"rabbit","box",2,1,"big","standard","no-cc",1,"haddock_model.wppl",1,0,0,"allow","box2"
"44",119,"rabbit","bag",2,0.5,"big","standard","no-cc",2,"haddock_model.wppl",1,0,0,"allow","bag2"
"45",216,"rabbit","box",2,0.5,"big","standard","no-cc",2,"haddock_model.wppl",1,0,0,"allow","box2"
"46",120,"rabbit","box",2,1,"big","standard","no-cc",3,"haddock_model.wppl",1,0,0,"allow","box2"
"47",121,"rabbit","box",2,1,"bigger","standard","no-cc",1,"haddock_model.wppl",1,0,0,"allow","box2"
"48",122,"rabbit","bag",2,0.5,"bigger","standard","no-cc",2,"haddock_model.wppl",1,0,0,"allow","bag2"
"49",217,"rabbit","box",2,0.5,"bigger","standard","no-cc",2,"haddock_model.wppl",1,0,0,"allow","box2"
"50",123,"rabbit","box",2,1,"bigger","standard","no-cc",3,"haddock_model.wppl",1,0,0,"allow","box2"
"51",36,"rabbit","box",2,0.419612498080018,"big","bumford","cco",1,"haddock_model.wppl",2,0,0,"allow","box2"
"52",218,"rabbit","bag",2,0.361672908421714,"big","bumford","cco",1,"haddock_model.wppl",2,0,0,"allow","bag2"
"53",124,"rabbit","bag",1,0.218714593498267,"big","bumford","cco",1,"haddock_model.wppl",2,0,0,"allow","bag1"
"54",37,"rabbit","box",2,0.418682621707161,"big","bumford","cco",2,"haddock_model.wppl",2,0,0,"allow","box2"
"55",219,"rabbit","bag",2,0.363105631647787,"big","bumford","cco",2,"haddock_model.wppl",2,0,0,"allow","bag2"
"56",125,"rabbit","bag",1,0.218211746645052,"big","bumford","cco",2,"haddock_model.wppl",2,0,0,"allow","bag1"
"57",38,"rabbit","box",2,0.35107075896704,"big","bumford","cco",3,"haddock_model.wppl",2,0,0,"allow","box2"
"58",220,"rabbit","bag",2,0.310392001854647,"big","bumford","cco",3,"haddock_model.wppl",2,0,0,"allow","bag2"
"59",126,"rabbit","bag",1,0.187734411617939,"big","bumford","cco",3,"haddock_model.wppl",2,0,0,"allow","bag1"
"60",42,"rabbit","box",1,0.150802827560374,"big","bumford","cco",3,"haddock_model.wppl",2,0,0,"allow","box1"
"61",127,"rabbit","bag",2,1,"bigger","bumford","cco",1,"haddock_model.wppl",2,0,0,"allow","bag2"
"62",128,"rabbit","bag",2,1,"bigger","bumford","cco",2,"haddock_model.wppl",2,0,0,"allow","bag2"
"63",221,"rabbit","box",2,0.500985909381044,"bigger","bumford","cco",3,"haddock_model.wppl",2,0,0,"allow","box2"
"64",129,"rabbit","bag",2,0.499014090618956,"bigger","bumford","cco",3,"haddock_model.wppl",2,0,0,"allow","bag2"
"65",130,"rabbit","bag",2,0.647118500301378,"big","bumford","no-cc",1,"haddock_model.wppl",2,0,0,"allow","bag2"
"66",222,"rabbit","box",2,0.352881499698622,"big","bumford","no-cc",1,"haddock_model.wppl",2,0,0,"allow","box2"
"67",131,"rabbit","bag",2,0.648112626982688,"big","bumford","no-cc",2,"haddock_model.wppl",2,0,0,"allow","bag2"
"68",223,"rabbit","box",2,0.351887373017312,"big","bumford","no-cc",2,"haddock_model.wppl",2,0,0,"allow","box2"
"69",224,"rabbit","box",2,0.502984037328335,"big","bumford","no-cc",3,"haddock_model.wppl",2,0,0,"allow","box2"
"70",132,"rabbit","bag",2,0.497015962671665,"big","bumford","no-cc",3,"haddock_model.wppl",2,0,0,"allow","bag2"
"71",133,"rabbit","bag",2,1,"bigger","bumford","no-cc",1,"haddock_model.wppl",2,0,0,"allow","bag2"
"72",134,"rabbit","bag",2,1,"bigger","bumford","no-cc",2,"haddock_model.wppl",2,0,0,"allow","bag2"
"73",135,"rabbit","bag",2,0.503061178635109,"bigger","bumford","no-cc",3,"haddock_model.wppl",2,0,0,"allow","bag2"
"74",225,"rabbit","box",2,0.496938821364891,"bigger","bumford","no-cc",3,"haddock_model.wppl",2,0,0,"allow","box2"
"75",39,"rabbit","box",2,0.408739818402067,"big","standard","cco",1,"haddock_model.wppl",2,0,0,"allow","box2"
"76",226,"rabbit","bag",2,0.363666347899452,"big","standard","cco",1,"haddock_model.wppl",2,0,0,"allow","bag2"
"77",136,"rabbit","bag",1,0.227593833698481,"big","standard","cco",1,"haddock_model.wppl",2,0,0,"allow","bag1"
"78",310,"rabbit","box",2,0.394665904571701,"big","standard","cco",2,"haddock_model.wppl",2,0,0,"allow","box2"
"79",227,"rabbit","bag",2,0.378107084505067,"big","standard","cco",2,"haddock_model.wppl",2,0,0,"allow","bag2"
"80",137,"rabbit","bag",1,0.227227010923233,"big","standard","cco",2,"haddock_model.wppl",2,0,0,"allow","bag1"
"81",311,"rabbit","box",2,0.361019273633105,"big","standard","cco",3,"haddock_model.wppl",2,0,0,"allow","box2"
"82",228,"rabbit","bag",2,0.297696353389448,"big","standard","cco",3,"haddock_model.wppl",2,0,0,"allow","bag2"
"83",138,"rabbit","bag",1,0.186209659511921,"big","standard","cco",3,"haddock_model.wppl",2,0,0,"allow","bag1"
"84",43,"rabbit","box",1,0.155074713465526,"big","standard","cco",3,"haddock_model.wppl",2,0,0,"allow","box1"
"85",139,"rabbit","bag",2,1,"bigger","standard","cco",1,"haddock_model.wppl",2,0,0,"allow","bag2"
"86",140,"rabbit","bag",2,1,"bigger","standard","cco",2,"haddock_model.wppl",2,0,0,"allow","bag2"
"87",229,"rabbit","box",2,0.512824323858826,"bigger","standard","cco",3,"haddock_model.wppl",2,0,0,"allow","box2"
"88",141,"rabbit","bag",2,0.487175676141174,"bigger","standard","cco",3,"haddock_model.wppl",2,0,0,"allow","bag2"
"89",142,"rabbit","box",2,1,"big","standard","no-cc",1,"haddock_model.wppl",2,0,0,"allow","box2"
"90",230,"rabbit","box",2,0.539708175377682,"big","standard","no-cc",2,"haddock_model.wppl",2,0,0,"allow","box2"
"91",143,"rabbit","bag",2,0.460291824622318,"big","standard","no-cc",2,"haddock_model.wppl",2,0,0,"allow","bag2"
"92",144,"rabbit","box",2,1,"big","standard","no-cc",3,"haddock_model.wppl",2,0,0,"allow","box2"
"93",145,"rabbit","bag",2,1,"bigger","standard","no-cc",1,"haddock_model.wppl",2,0,0,"allow","bag2"
"94",146,"rabbit","bag",2,1,"bigger","standard","no-cc",2,"haddock_model.wppl",2,0,0,"allow","bag2"
"95",147,"rabbit","bag",2,0.683734665976474,"bigger","standard","no-cc",3,"haddock_model.wppl",2,0,0,"allow","bag2"
"96",231,"rabbit","box",2,0.316265334023526,"bigger","standard","no-cc",3,"haddock_model.wppl",2,0,0,"allow","box2"
"97",312,"rabbit","box",2,0.394870098755235,"big","bumford","cco",1,"haddock_model.wppl",1,0,0.5,"allow","box2"
"98",148,"rabbit","bag",2,0.391517692724133,"big","bumford","cco",1,"haddock_model.wppl",1,0,0.5,"allow","bag2"
"99",232,"rabbit","bag",1,0.213612208520632,"big","bumford","cco",1,"haddock_model.wppl",1,0,0.5,"allow","bag1"
"100",149,"rabbit","bag",2,0.387061804610453,"big","bumford","cco",2,"haddock_model.wppl",1,0,0.5,"allow","bag2"
"101",313,"rabbit","box",2,0.380329761143171,"big","bumford","cco",2,"haddock_model.wppl",1,0,0.5,"allow","box2"
"102",233,"rabbit","bag",1,0.232608434246376,"big","bumford","cco",2,"haddock_model.wppl",1,0,0.5,"allow","bag1"
"103",44,"rabbit","box",2,0.399061786838694,"big","bumford","cco",3,"haddock_model.wppl",1,0,0.5,"allow","box2"
"104",150,"rabbit","bag",2,0.277898988700101,"big","bumford","cco",3,"haddock_model.wppl",1,0,0.5,"allow","bag2"
"105",314,"rabbit","box",1,0.171417425944666,"big","bumford","cco",3,"haddock_model.wppl",1,0,0.5,"allow","box1"
"106",234,"rabbit","bag",1,0.151621798516539,"big","bumford","cco",3,"haddock_model.wppl",1,0,0.5,"allow","bag1"
"107",151,"rabbit","bag",2,0.639334637063884,"bigger","bumford","cco",1,"haddock_model.wppl",1,0,0.5,"allow","bag2"
"108",235,"rabbit","box",2,0.360665362936116,"bigger","bumford","cco",1,"haddock_model.wppl",1,0,0.5,"allow","box2"
"109",152,"rabbit","bag",2,0.754036714384735,"bigger","bumford","cco",2,"haddock_model.wppl",1,0,0.5,"allow","bag2"
"110",236,"rabbit","box",2,0.245963285615265,"bigger","bumford","cco",2,"haddock_model.wppl",1,0,0.5,"allow","box2"
"111",237,"rabbit","box",2,0.579975117521265,"bigger","bumford","cco",3,"haddock_model.wppl",1,0,0.5,"allow","box2"
"112",153,"rabbit","bag",2,0.420024882478735,"bigger","bumford","cco",3,"haddock_model.wppl",1,0,0.5,"allow","bag2"
"113",154,"rabbit","bag",2,0.568377546155158,"big","bumford","no-cc",1,"haddock_model.wppl",1,0,0.5,"allow","bag2"
"114",238,"rabbit","box",2,0.431622453844842,"big","bumford","no-cc",1,"haddock_model.wppl",1,0,0.5,"allow","box2"
"115",155,"rabbit","bag",2,0.51113932359047,"big","bumford","no-cc",2,"haddock_model.wppl",1,0,0.5,"allow","bag2"
"116",239,"rabbit","box",2,0.48886067640953,"big","bumford","no-cc",2,"haddock_model.wppl",1,0,0.5,"allow","box2"
"117",240,"rabbit","box",2,0.61360167533129,"big","bumford","no-cc",3,"haddock_model.wppl",1,0,0.5,"allow","box2"
"118",156,"rabbit","bag",2,0.38639832466871,"big","bumford","no-cc",3,"haddock_model.wppl",1,0,0.5,"allow","bag2"
"119",157,"rabbit","box",2,1,"bigger","bumford","no-cc",1,"haddock_model.wppl",1,0,0.5,"allow","box2"
"120",158,"rabbit","bag",2,0.754036714384735,"bigger","bumford","no-cc",2,"haddock_model.wppl",1,0,0.5,"allow","bag2"
"121",241,"rabbit","box",2,0.245963285615265,"bigger","bumford","no-cc",2,"haddock_model.wppl",1,0,0.5,"allow","box2"
"122",159,"rabbit","box",2,1,"bigger","bumford","no-cc",3,"haddock_model.wppl",1,0,0.5,"allow","box2"
"123",315,"rabbit","box",2,0.529148433934238,"big","standard","cco",1,"haddock_model.wppl",1,0,0.5,"allow","box2"
"124",160,"rabbit","bag",2,0.290935396747145,"big","standard","cco",1,"haddock_model.wppl",1,0,0.5,"allow","bag2"
"125",242,"rabbit","bag",1,0.179916169318616,"big","standard","cco",1,"haddock_model.wppl",1,0,0.5,"allow","bag1"
"126",316,"rabbit","box",2,0.407210050265369,"big","standard","cco",2,"haddock_model.wppl",1,0,0.5,"allow","box2"
"127",161,"rabbit","bag",2,0.370271691799351,"big","standard","cco",2,"haddock_model.wppl",1,0,0.5,"allow","bag2"
"128",243,"rabbit","bag",1,0.22251825793528,"big","standard","cco",2,"haddock_model.wppl",1,0,0.5,"allow","bag1"
"129",45,"rabbit","box",2,0.469697630027167,"big","standard","cco",3,"haddock_model.wppl",1,0,0.5,"allow","box2"
"130",162,"rabbit","bag",2,0.203004226633764,"big","standard","cco",3,"haddock_model.wppl",1,0,0.5,"allow","bag2"
"131",317,"rabbit","box",1,0.20175912945559,"big","standard","cco",3,"haddock_model.wppl",1,0,0.5,"allow","box1"
"132",244,"rabbit","bag",1,0.125539013883478,"big","standard","cco",3,"haddock_model.wppl",1,0,0.5,"allow","bag1"
"133",245,"rabbit","box",2,0.621536346518715,"bigger","standard","cco",1,"haddock_model.wppl",1,0,0.5,"allow","box2"
"134",163,"rabbit","bag",2,0.378463653481285,"bigger","standard","cco",1,"haddock_model.wppl",1,0,0.5,"allow","bag2"
"135",164,"rabbit","bag",2,0.512923865577138,"bigger","standard","cco",2,"haddock_model.wppl",1,0,0.5,"allow","bag2"
"136",246,"rabbit","box",2,0.487076134422862,"bigger","standard","cco",2,"haddock_model.wppl",1,0,0.5,"allow","box2"
"137",247,"rabbit","box",2,0.579975117521265,"bigger","standard","cco",3,"haddock_model.wppl",1,0,0.5,"allow","box2"
"138",165,"rabbit","bag",2,0.420024882478735,"bigger","standard","cco",3,"haddock_model.wppl",1,0,0.5,"allow","bag2"
"139",166,"rabbit","box",2,1,"big","standard","no-cc",1,"haddock_model.wppl",1,0,0.5,"allow","box2"
"140",248,"rabbit","box",2,0.555555555555556,"big","standard","no-cc",2,"haddock_model.wppl",1,0,0.5,"allow","box2"
"141",167,"rabbit","bag",2,0.444444444444444,"big","standard","no-cc",2,"haddock_model.wppl",1,0,0.5,"allow","bag2"
"142",168,"rabbit","box",2,1,"big","standard","no-cc",3,"haddock_model.wppl",1,0,0.5,"allow","box2"
"143",169,"rabbit","box",2,1,"bigger","standard","no-cc",1,"haddock_model.wppl",1,0,0.5,"allow","box2"
"144",170,"rabbit","bag",2,0.512923865577138,"bigger","standard","no-cc",2,"haddock_model.wppl",1,0,0.5,"allow","bag2"
"145",249,"rabbit","box",2,0.487076134422862,"bigger","standard","no-cc",2,"haddock_model.wppl",1,0,0.5,"allow","box2"
"146",171,"rabbit","box",2,1,"bigger","standard","no-cc",3,"haddock_model.wppl",1,0,0.5,"allow","box2"
"147",318,"rabbit","box",2,0.418822379504918,"big","bumford","cco",1,"haddock_model.wppl",2,0,0.5,"allow","box2"
"148",250,"rabbit","bag",2,0.362525139514494,"big","bumford","cco",1,"haddock_model.wppl",2,0,0.5,"allow","bag2"
"149",172,"rabbit","bag",1,0.218652480980588,"big","bumford","cco",1,"haddock_model.wppl",2,0,0.5,"allow","bag1"
"150",319,"rabbit","box",2,0.418363973089937,"big","bumford","cco",2,"haddock_model.wppl",2,0,0.5,"allow","box2"
"151",251,"rabbit","bag",2,0.363304667685158,"big","bumford","cco",2,"haddock_model.wppl",2,0,0.5,"allow","bag2"
"152",173,"rabbit","bag",1,0.218331359224904,"big","bumford","cco",2,"haddock_model.wppl",2,0,0.5,"allow","bag1"
"153",320,"rabbit","box",2,0.350661412760111,"big","bumford","cco",3,"haddock_model.wppl",2,0,0.5,"allow","box2"
"154",252,"rabbit","bag",2,0.311074662172841,"big","bumford","cco",3,"haddock_model.wppl",2,0,0.5,"allow","bag2"
"155",174,"rabbit","bag",1,0.187636932616489,"big","bumford","cco",3,"haddock_model.wppl",2,0,0.5,"allow","bag1"
"156",46,"rabbit","box",1,0.150626992450559,"big","bumford","cco",3,"haddock_model.wppl",2,0,0.5,"allow","box1"
"157",175,"rabbit","bag",2,1,"bigger","bumford","cco",1,"haddock_model.wppl",2,0,0.5,"allow","bag2"
"158",176,"rabbit","bag",2,1,"bigger","bumford","cco",2,"haddock_model.wppl",2,0,0.5,"allow","bag2"
"159",253,"rabbit","box",2,0.500092183745488,"bigger","bumford","cco",3,"haddock_model.wppl",2,0,0.5,"allow","box2"
"160",177,"rabbit","bag",2,0.499907816254512,"bigger","bumford","cco",3,"haddock_model.wppl",2,0,0.5,"allow","bag2"
"161",178,"rabbit","bag",2,0.648593909088043,"big","bumford","no-cc",1,"haddock_model.wppl",2,0,0.5,"allow","bag2"
"162",254,"rabbit","box",2,0.351406090911957,"big","bumford","no-cc",1,"haddock_model.wppl",2,0,0.5,"allow","box2"
"163",179,"rabbit","bag",2,0.649020125747622,"big","bumford","no-cc",2,"haddock_model.wppl",2,0,0.5,"allow","bag2"
"164",255,"rabbit","box",2,0.350979874252378,"big","bumford","no-cc",2,"haddock_model.wppl",2,0,0.5,"allow","box2"
"165",256,"rabbit","box",2,0.502311449738493,"big","bumford","no-cc",3,"haddock_model.wppl",2,0,0.5,"allow","box2"
"166",180,"rabbit","bag",2,0.497688550261507,"big","bumford","no-cc",3,"haddock_model.wppl",2,0,0.5,"allow","bag2"
"167",181,"rabbit","bag",2,1,"bigger","bumford","no-cc",1,"haddock_model.wppl",2,0,0.5,"allow","bag2"
"168",182,"rabbit","bag",2,1,"bigger","bumford","no-cc",2,"haddock_model.wppl",2,0,0.5,"allow","bag2"
"169",183,"rabbit","bag",2,0.502385222887586,"bigger","bumford","no-cc",3,"haddock_model.wppl",2,0,0.5,"allow","bag2"
"170",257,"rabbit","box",2,0.497614777112414,"bigger","bumford","no-cc",3,"haddock_model.wppl",2,0,0.5,"allow","box2"
"171",321,"rabbit","box",2,0.409141744025739,"big","standard","cco",1,"haddock_model.wppl",2,0,0.5,"allow","box2"
"172",258,"rabbit","bag",2,0.36298561389731,"big","standard","cco",1,"haddock_model.wppl",2,0,0.5,"allow","bag2"
"173",184,"rabbit","bag",1,0.227872642076951,"big","standard","cco",1,"haddock_model.wppl",2,0,0.5,"allow","bag1"
"174",322,"rabbit","box",2,0.394968136651575,"big","standard","cco",2,"haddock_model.wppl",2,0,0.5,"allow","box2"
"175",259,"rabbit","bag",2,0.377918302654798,"big","standard","cco",2,"haddock_model.wppl",2,0,0.5,"allow","bag2"
"176",185,"rabbit","bag",1,0.227113560693626,"big","standard","cco",2,"haddock_model.wppl",2,0,0.5,"allow","bag1"
"177",323,"rabbit","box",2,0.36111307214741,"big","standard","cco",3,"haddock_model.wppl",2,0,0.5,"allow","box2"
"178",260,"rabbit","bag",2,0.29726961756462,"big","standard","cco",3,"haddock_model.wppl",2,0,0.5,"allow","bag2"
"179",186,"rabbit","bag",1,0.186502305960455,"big","standard","cco",3,"haddock_model.wppl",2,0,0.5,"allow","bag1"
"180",47,"rabbit","box",1,0.155115004327515,"big","standard","cco",3,"haddock_model.wppl",2,0,0.5,"allow","box1"
"181",187,"rabbit","bag",2,1,"bigger","standard","cco",1,"haddock_model.wppl",2,0,0.5,"allow","bag2"
"182",188,"rabbit","bag",2,1,"bigger","standard","cco",2,"haddock_model.wppl",2,0,0.5,"allow","bag2"
"183",261,"rabbit","box",2,0.513254932700385,"bigger","standard","cco",3,"haddock_model.wppl",2,0,0.5,"allow","box2"
"184",189,"rabbit","bag",2,0.486745067299615,"bigger","standard","cco",3,"haddock_model.wppl",2,0,0.5,"allow","bag2"
"185",190,"rabbit","box",2,1,"big","standard","no-cc",1,"haddock_model.wppl",2,0,0.5,"allow","box2"
"186",262,"rabbit","box",2,0.539935754035537,"big","standard","no-cc",2,"haddock_model.wppl",2,0,0.5,"allow","box2"
"187",191,"rabbit","bag",2,0.460064245964463,"big","standard","no-cc",2,"haddock_model.wppl",2,0,0.5,"allow","bag2"
"188",192,"rabbit","box",2,1,"big","standard","no-cc",3,"haddock_model.wppl",2,0,0.5,"allow","box2"
"189",193,"rabbit","bag",2,1,"bigger","standard","no-cc",1,"haddock_model.wppl",2,0,0.5,"allow","bag2"
"190",194,"rabbit","bag",2,1,"bigger","standard","no-cc",2,"haddock_model.wppl",2,0,0.5,"allow","bag2"
"191",195,"rabbit","bag",2,0.683734116664968,"bigger","standard","no-cc",3,"haddock_model.wppl",2,0,0.5,"allow","bag2"
"192",263,"rabbit","box",2,0.316265883335032,"bigger","standard","no-cc",3,"haddock_model.wppl",2,0,0.5,"allow","box2"
"193",196,"rabbit","bag",2,0.406318043855847,"big","bumford","cco",1,"haddock_model.wppl",1,0,0.9,"allow","bag2"
"194",324,"rabbit","box",2,0.372691980471206,"big","bumford","cco",1,"haddock_model.wppl",1,0,0.9,"allow","box2"
"195",264,"rabbit","bag",1,0.220989975672946,"big","bumford","cco",1,"haddock_model.wppl",1,0,0.9,"allow","bag1"
"196",197,"rabbit","bag",2,0.393708564793531,"big","bumford","cco",2,"haddock_model.wppl",1,0,0.9,"allow","bag2"
"197",325,"rabbit","box",2,0.36968856787323,"big","bumford","cco",2,"haddock_model.wppl",1,0,0.9,"allow","box2"
"198",265,"rabbit","bag",1,0.236602867333239,"big","bumford","cco",2,"haddock_model.wppl",1,0,0.9,"allow","bag1"
"199",48,"rabbit","box",2,0.390739900834852,"big","bumford","cco",3,"haddock_model.wppl",1,0,0.9,"allow","box2"
"200",198,"rabbit","bag",2,0.285913503344284,"big","bumford","cco",3,"haddock_model.wppl",1,0,0.9,"allow","bag2"
"201",326,"rabbit","box",1,0.167842750731877,"big","bumford","cco",3,"haddock_model.wppl",1,0,0.9,"allow","box1"
"202",266,"rabbit","bag",1,0.155503845088987,"big","bumford","cco",3,"haddock_model.wppl",1,0,0.9,"allow","bag1"
"203",199,"rabbit","bag",2,0.639334637063884,"bigger","bumford","cco",1,"haddock_model.wppl",1,0,0.9,"allow","bag2"
"204",267,"rabbit","box",2,0.360665362936116,"bigger","bumford","cco",1,"haddock_model.wppl",1,0,0.9,"allow","box2"
"205",1100,"rabbit","bag",2,0.754036714384735,"bigger","bumford","cco",2,"haddock_model.wppl",1,0,0.9,"allow","bag2"
"206",268,"rabbit","box",2,0.245963285615265,"bigger","bumford","cco",2,"haddock_model.wppl",1,0,0.9,"allow","box2"
"207",269,"rabbit","box",2,0.579975117521265,"bigger","bumford","cco",3,"haddock_model.wppl",1,0,0.9,"allow","box2"
"208",1101,"rabbit","bag",2,0.420024882478735,"bigger","bumford","cco",3,"haddock_model.wppl",1,0,0.9,"allow","bag2"
"209",1102,"rabbit","bag",2,0.623588814752866,"big","bumford","no-cc",1,"haddock_model.wppl",1,0,0.9,"allow","bag2"
"210",270,"rabbit","box",2,0.376411185247134,"big","bumford","no-cc",1,"haddock_model.wppl",1,0,0.9,"allow","box2"
"211",1103,"rabbit","bag",2,0.541386473006823,"big","bumford","no-cc",2,"haddock_model.wppl",1,0,0.9,"allow","bag2"
"212",271,"rabbit","box",2,0.458613526993177,"big","bumford","no-cc",2,"haddock_model.wppl",1,0,0.9,"allow","box2"
"213",272,"rabbit","box",2,0.587651114624916,"big","bumford","no-cc",3,"haddock_model.wppl",1,0,0.9,"allow","box2"
"214",1104,"rabbit","bag",2,0.412348885375084,"big","bumford","no-cc",3,"haddock_model.wppl",1,0,0.9,"allow","bag2"
"215",1105,"rabbit","box",2,1,"bigger","bumford","no-cc",1,"haddock_model.wppl",1,0,0.9,"allow","box2"
"216",1106,"rabbit","bag",2,0.754036714384735,"bigger","bumford","no-cc",2,"haddock_model.wppl",1,0,0.9,"allow","bag2"
"217",273,"rabbit","box",2,0.245963285615265,"bigger","bumford","no-cc",2,"haddock_model.wppl",1,0,0.9,"allow","box2"
"218",1107,"rabbit","box",2,1,"bigger","bumford","no-cc",3,"haddock_model.wppl",1,0,0.9,"allow","box2"
"219",327,"rabbit","box",2,0.546560332002701,"big","standard","cco",1,"haddock_model.wppl",1,0,0.9,"allow","box2"
"220",1108,"rabbit","bag",2,0.280176724932594,"big","standard","cco",1,"haddock_model.wppl",1,0,0.9,"allow","bag2"
"221",274,"rabbit","bag",1,0.173262943064705,"big","standard","cco",1,"haddock_model.wppl",1,0,0.9,"allow","bag1"
