"","Animal","ContainerType","Size","Probability","Adjective","DefArtMeaning","Context","Condition","Model","ListenerLevel","cmpHighScopeConstrualProb","posHighScopeConstrualProb","allowUninformativeThresholds","Container"
"126","rabbit","bag","2",0.537360726464424,"big","bumford","no-cc",4,"haddock_model.wppl",1,0,0.9,"allow","bag2"
"218","rabbit","box","2",0.462639273535576,"big","bumford","no-cc",4,"haddock_model.wppl",1,0,0.9,"allow","box2"
"127","rabbit","box","2",1,"bigger","bumford","no-cc",4,"haddock_model.wppl",1,0,0.9,"allow","box2"
"219","rabbit","box","2",0.617205948993296,"big","standard","cco",4,"haddock_model.wppl",1,0,0.9,"allow","box2"
"128","rabbit","bag","2",0.382794051006704,"big","standard","cco",4,"haddock_model.wppl",1,0,0.9,"allow","bag2"
"220","rabbit","box","2",0.638809021773526,"bigger","standard","cco",4,"haddock_model.wppl",1,0,0.9,"allow","box2"
"129","rabbit","bag","2",0.361190978226474,"bigger","standard","cco",4,"haddock_model.wppl",1,0,0.9,"allow","bag2"
"130","rabbit","box","2",1,"big","standard","no-cc",4,"haddock_model.wppl",1,0,0.9,"allow","box2"
"131","rabbit","box","2",1,"bigger","standard","no-cc",4,"haddock_model.wppl",1,0,0.9,"allow","box2"
"221","rabbit","box","2",0.500072945788976,"big","bumford","cco",4,"haddock_model.wppl",2,0,0.9,"allow","box2"
"132","rabbit","bag","2",0.499927054211024,"big","bumford","cco",4,"haddock_model.wppl",2,0,0.9,"allow","bag2"
"222","rabbit","box","2",0.500218290394914,"big","bumford","no-cc",4,"haddock_model.wppl",2,0,0.9,"allow","box2"
"133","rabbit","bag","2",0.499781709605086,"big","bumford","no-cc",4,"haddock_model.wppl",2,0,0.9,"allow","bag2"
"223","rabbit","box","2",0.508364807390705,"big","standard","cco",4,"haddock_model.wppl",2,0,0.9,"allow","box2"
"134","rabbit","bag","2",0.491635192609295,"big","standard","cco",4,"haddock_model.wppl",2,0,0.9,"allow","bag2"
"135","rabbit","box","2",1,"big","standard","no-cc",4,"haddock_model.wppl",2,0,0.9,"allow","box2"
"224","rabbit","box","2",0.502775928241254,"big","bumford","cco",4,"haddock_model.wppl",1,0,1,"allow","box2"
"136","rabbit","bag","2",0.497224071758747,"big","bumford","cco",4,"haddock_model.wppl",1,0,1,"allow","bag2"
"225","rabbit","box","2",0.633620689655172,"bigger","bumford","cco",4,"haddock_model.wppl",1,0,1,"allow","box2"
"137","rabbit","bag","2",0.366379310344828,"bigger","bumford","cco",4,"haddock_model.wppl",1,0,1,"allow","bag2"
"138","rabbit","bag","2",0.545501710826003,"big","bumford","no-cc",4,"haddock_model.wppl",1,0,1,"allow","bag2"
"226","rabbit","box","2",0.454498289173997,"big","bumford","no-cc",4,"haddock_model.wppl",1,0,1,"allow","box2"
"139","rabbit","box","2",1,"bigger","bumford","no-cc",4,"haddock_model.wppl",1,0,1,"allow","box2"
"227","rabbit","box","2",0.624894260507246,"big","standard","cco",4,"haddock_model.wppl",1,0,1,"allow","box2"
"140","rabbit","bag","2",0.375105739492754,"big","standard","cco",4,"haddock_model.wppl",1,0,1,"allow","bag2"
"228","rabbit","box","2",0.633620689655172,"bigger","standard","cco",4,"haddock_model.wppl",1,0,1,"allow","box2"
"141","rabbit","bag","2",0.366379310344828,"bigger","standard","cco",4,"haddock_model.wppl",1,0,1,"allow","bag2"
"142","rabbit","box","2",1,"big","standard","no-cc",4,"haddock_model.wppl",1,0,1,"allow","box2"
"143","rabbit","box","2",1,"bigger","standard","no-cc",4,"haddock_model.wppl",1,0,1,"allow","box2"
"144","rabbit","bag","2",0.5,"big","bumford","cco",4,"haddock_model.wppl",2,0,1,"allow","bag2"
"229","rabbit","box","2",0.5,"big","bumford","cco",4,"haddock_model.wppl",2,0,1,"allow","box2"
"145","rabbit","bag","2",0.5,"big","bumford","no-cc",4,"haddock_model.wppl",2,0,1,"allow","bag2"
"230","rabbit","box","2",0.5,"big","bumford","no-cc",4,"haddock_model.wppl",2,0,1,"allow","box2"
"231","rabbit","box","2",0.508498691429726,"big","standard","cco",4,"haddock_model.wppl",2,0,1,"allow","box2"
"146","rabbit","bag","2",0.491501308570274,"big","standard","cco",4,"haddock_model.wppl",2,0,1,"allow","bag2"
"147","rabbit","box","2",1,"big","standard","no-cc",4,"haddock_model.wppl",2,0,1,"allow","box2"
"232","rabbit","box","2",0.530710199565553,"big","bumford","cco",4,"haddock_model.wppl",1,0.5,0,"allow","box2"
"148","rabbit","bag","2",0.469289800434447,"big","bumford","cco",4,"haddock_model.wppl",1,0.5,0,"allow","bag2"
"233","rabbit","box","2",0.633620689655172,"bigger","bumford","cco",4,"haddock_model.wppl",1,0.5,0,"allow","box2"
"149","rabbit","bag","2",0.366379310344828,"bigger","bumford","cco",4,"haddock_model.wppl",1,0.5,0,"allow","bag2"
"234","rabbit","box","2",0.549978599545423,"big","bumford","no-cc",4,"haddock_model.wppl",1,0.5,0,"allow","box2"
"150","rabbit","bag","2",0.450021400454577,"big","bumford","no-cc",4,"haddock_model.wppl",1,0.5,0,"allow","bag2"
"151","rabbit","box","2",1,"bigger","bumford","no-cc",4,"haddock_model.wppl",1,0.5,0,"allow","box2"
"235","rabbit","box","2",0.544838636751229,"big","standard","cco",4,"haddock_model.wppl",1,0.5,0,"allow","box2"
"152","rabbit","bag","2",0.455161363248771,"big","standard","cco",4,"haddock_model.wppl",1,0.5,0,"allow","bag2"
"236","rabbit","box","2",0.684146032125659,"bigger","standard","cco",4,"haddock_model.wppl",1,0.5,0,"allow","box2"
"153","rabbit","bag","2",0.315853967874341,"bigger","standard","cco",4,"haddock_model.wppl",1,0.5,0,"allow","bag2"
"154","rabbit","box","2",1,"big","standard","no-cc",4,"haddock_model.wppl",1,0.5,0,"allow","box2"
"155","rabbit","box","2",1,"bigger","standard","no-cc",4,"haddock_model.wppl",1,0.5,0,"allow","box2"
"237","rabbit","box","2",0.500714890791611,"big","bumford","cco",4,"haddock_model.wppl",2,0.5,0,"allow","box2"
"156","rabbit","bag","2",0.499285109208389,"big","bumford","cco",4,"haddock_model.wppl",2,0.5,0,"allow","bag2"
"238","rabbit","box","2",0.502020527049302,"big","bumford","no-cc",4,"haddock_model.wppl",2,0.5,0,"allow","box2"
"157","rabbit","bag","2",0.497979472950698,"big","bumford","no-cc",4,"haddock_model.wppl",2,0.5,0,"allow","bag2"
"239","rabbit","box","2",0.507080868104581,"big","standard","cco",4,"haddock_model.wppl",2,0.5,0,"allow","box2"
"158","rabbit","bag","2",0.492919131895419,"big","standard","cco",4,"haddock_model.wppl",2,0.5,0,"allow","bag2"
"159","rabbit","box","2",1,"big","standard","no-cc",4,"haddock_model.wppl",2,0.5,0,"allow","box2"
"240","rabbit","box","2",0.516469189326115,"big","bumford","cco",4,"haddock_model.wppl",1,0.5,0.5,"allow","box2"
"160","rabbit","bag","2",0.483530810673885,"big","bumford","cco",4,"haddock_model.wppl",1,0.5,0.5,"allow","bag2"
"241","rabbit","box","2",0.633620689655172,"bigger","bumford","cco",4,"haddock_model.wppl",1,0.5,0.5,"allow","box2"
"161","rabbit","bag","2",0.366379310344828,"bigger","bumford","cco",4,"haddock_model.wppl",1,0.5,0.5,"allow","bag2"
"242","rabbit","box","2",0.516756931273118,"big","bumford","no-cc",4,"haddock_model.wppl",1,0.5,0.5,"allow","box2"
"162","rabbit","bag","2",0.483243068726882,"big","bumford","no-cc",4,"haddock_model.wppl",1,0.5,0.5,"allow","bag2"
"163","rabbit","box","2",1,"bigger","bumford","no-cc",4,"haddock_model.wppl",1,0.5,0.5,"allow","box2"
"243","rabbit","box","2",0.58576350062161,"big","standard","cco",4,"haddock_model.wppl",1,0.5,0.5,"allow","box2"
"164","rabbit","bag","2",0.41423649937839,"big","standard","cco",4,"haddock_model.wppl",1,0.5,0.5,"allow","bag2"
"244","rabbit","box","2",0.659256124385607,"bigger","standard","cco",4,"haddock_model.wppl",1,0.5,0.5,"allow","box2"
"165","rabbit","bag","2",0.340743875614394,"bigger","standard","cco",4,"haddock_model.wppl",1,0.5,0.5,"allow","bag2"
"166","rabbit","box","2",1,"big","standard","no-cc",4,"haddock_model.wppl",1,0.5,0.5,"allow","box2"
"167","rabbit","box","2",1,"bigger","standard","no-cc",4,"haddock_model.wppl",1,0.5,0.5,"allow","box2"
"245","rabbit","box","2",0.500360429566159,"big","bumford","cco",4,"haddock_model.wppl",2,0.5,0.5,"allow","box2"
"168","rabbit","bag","2",0.499639570433841,"big","bumford","cco",4,"haddock_model.wppl",2,0.5,0.5,"allow","bag2"
"246","rabbit","box","2",0.501032198752816,"big","bumford","no-cc",4,"haddock_model.wppl",2,0.5,0.5,"allow","box2"
"169","rabbit","bag","2",0.498967801247184,"big","bumford","no-cc",4,"haddock_model.wppl",2,0.5,0.5,"allow","bag2"
"247","rabbit","box","2",0.507817063761952,"big","standard","cco",4,"haddock_model.wppl",2,0.5,0.5,"allow","box2"
"170","rabbit","bag","2",0.492182936238048,"big","standard","cco",4,"haddock_model.wppl",2,0.5,0.5,"allow","bag2"
"171","rabbit","box","2",1,"big","standard","no-cc",4,"haddock_model.wppl",2,0.5,0.5,"allow","box2"
"248","rabbit","box","2",0.50443859320071,"big","bumford","cco",4,"haddock_model.wppl",1,0.5,0.9,"allow","box2"
"172","rabbit","bag","2",0.49556140679929,"big","bumford","cco",4,"haddock_model.wppl",1,0.5,0.9,"allow","bag2"
"249","rabbit","box","2",0.633620689655172,"bigger","bumford","cco",4,"haddock_model.wppl",1,0.5,0.9,"allow","box2"
"173","rabbit","bag","2",0.366379310344828,"bigger","bumford","cco",4,"haddock_model.wppl",1,0.5,0.9,"allow","bag2"
"174","rabbit","bag","2",0.513573669095385,"big","bumford","no-cc",4,"haddock_model.wppl",1,0.5,0.9,"allow","bag2"
"250","rabbit","box","2",0.486426330904614,"big","bumford","no-cc",4,"haddock_model.wppl",1,0.5,0.9,"allow","box2"
"175","rabbit","box","2",1,"bigger","bumford","no-cc",4,"haddock_model.wppl",1,0.5,0.9,"allow","box2"
"251","rabbit","box","2",0.617205948993296,"big","standard","cco",4,"haddock_model.wppl",1,0.5,0.9,"allow","box2"
"176","rabbit","bag","2",0.382794051006704,"big","standard","cco",4,"haddock_model.wppl",1,0.5,0.9,"allow","bag2"
"252","rabbit","box","2",0.638809021773526,"bigger","standard","cco",4,"haddock_model.wppl",1,0.5,0.9,"allow","box2"
"177","rabbit","bag","2",0.361190978226474,"bigger","standard","cco",4,"haddock_model.wppl",1,0.5,0.9,"allow","bag2"
"178","rabbit","box","2",1,"big","standard","no-cc",4,"haddock_model.wppl",1,0.5,0.9,"allow","box2"
"179","rabbit","box","2",1,"bigger","standard","no-cc",4,"haddock_model.wppl",1,0.5,0.9,"allow","box2"
"253","rabbit","box","2",0.500072945788976,"big","bumford","cco",4,"haddock_model.wppl",2,0.5,0.9,"allow","box2"
"180","rabbit","bag","2",0.499927054211024,"big","bumford","cco",4,"haddock_model.wppl",2,0.5,0.9,"allow","bag2"
"254","rabbit","box","2",0.500218290394914,"big","bumford","no-cc",4,"haddock_model.wppl",2,0.5,0.9,"allow","box2"
"181","rabbit","bag","2",0.499781709605086,"big","bumford","no-cc",4,"haddock_model.wppl",2,0.5,0.9,"allow","bag2"
"255","rabbit","box","2",0.508364807390705,"big","standard","cco",4,"haddock_model.wppl",2,0.5,0.9,"allow","box2"
"182","rabbit","bag","2",0.491635192609295,"big","standard","cco",4,"haddock_model.wppl",2,0.5,0.9,"allow","bag2"
"183","rabbit","box","2",1,"big","standard","no-cc",4,"haddock_model.wppl",2,0.5,0.9,"allow","box2"
"256","rabbit","box","2",0.501336818085354,"big","bumford","cco",4,"haddock_model.wppl",1,0.5,1,"allow","box2"
"184","rabbit","bag","2",0.498663181914646,"big","bumford","cco",4,"haddock_model.wppl",1,0.5,1,"allow","bag2"
"257","rabbit","box","2",0.633620689655172,"bigger","bumford","cco",4,"haddock_model.wppl",1,0.5,1,"allow","box2"
"185","rabbit","bag","2",0.366379310344828,"bigger","bumford","cco",4,"haddock_model.wppl",1,0.5,1,"allow","bag2"
"186","rabbit","bag","2",0.521760706058556,"big","bumford","no-cc",4,"haddock_model.wppl",1,0.5,1,"allow","bag2"
"258","rabbit","box","2",0.478239293941444,"big","bumford","no-cc",4,"haddock_model.wppl",1,0.5,1,"allow","box2"
"187","rabbit","box","2",1,"bigger","bumford","no-cc",4,"haddock_model.wppl",1,0.5,1,"allow","box2"
"259","rabbit","box","2",0.624894260507246,"big","standard","cco",4,"haddock_model.wppl",1,0.5,1,"allow","box2"
"188","rabbit","bag","2",0.375105739492754,"big","standard","cco",4,"haddock_model.wppl",1,0.5,1,"allow","bag2"
"260","rabbit","box","2",0.633620689655172,"bigger","standard","cco",4,"haddock_model.wppl",1,0.5,1,"allow","box2"
"189","rabbit","bag","2",0.366379310344828,"bigger","standard","cco",4,"haddock_model.wppl",1,0.5,1,"allow","bag2"
"190","rabbit","box","2",1,"big","standard","no-cc",4,"haddock_model.wppl",1,0.5,1,"allow","box2"
"191","rabbit","box","2",1,"bigger","standard","no-cc",4,"haddock_model.wppl",1,0.5,1,"allow","box2"
"192","rabbit","bag","2",0.5,"big","bumford","cco",4,"haddock_model.wppl",2,0.5,1,"allow","bag2"
"261","rabbit","box","2",0.5,"big","bumford","cco",4,"haddock_model.wppl",2,0.5,1,"allow","box2"
"193","rabbit","bag","2",0.5,"big","bumford","no-cc",4,"haddock_model.wppl",2,0.5,1,"allow","bag2"
"262","rabbit","box","2",0.5,"big","bumford","no-cc",4,"haddock_model.wppl",2,0.5,1,"allow","box2"
"263","rabbit","box","2",0.508498691429726,"big","standard","cco",4,"haddock_model.wppl",2,0.5,1,"allow","box2"
"194","rabbit","bag","2",0.491501308570274,"big","standard","cco",4,"haddock_model.wppl",2,0.5,1,"allow","bag2"
"195","rabbit","box","2",1,"big","standard","no-cc",4,"haddock_model.wppl",2,0.5,1,"allow","box2"
"264","rabbit","box","2",0.530859456474367,"big","bumford","cco",4,"haddock_model.wppl",1,0.9,0,"allow","box2"
"196","rabbit","bag","2",0.469140543525633,"big","bumford","cco",4,"haddock_model.wppl",1,0.9,0,"allow","bag2"
"265","rabbit","box","2",0.633620689655172,"bigger","bumford","cco",4,"haddock_model.wppl",1,0.9,0,"allow","box2"
"197","rabbit","bag","2",0.366379310344828,"bigger","bumford","cco",4,"haddock_model.wppl",1,0.9,0,"allow","bag2"
"266","rabbit","box","2",0.567303735275038,"big","bumford","no-cc",4,"haddock_model.wppl",1,0.9,0,"allow","box2"
"198","rabbit","bag","2",0.432696264724962,"big","bumford","no-cc",4,"haddock_model.wppl",1,0.9,0,"allow","bag2"
"199","rabbit","box","2",1,"bigger","bumford","no-cc",4,"haddock_model.wppl",1,0.9,0,"allow","box2"
"267","rabbit","box","2",0.544838636751229,"big","standard","cco",4,"haddock_model.wppl",1,0.9,0,"allow","box2"
"1100","rabbit","bag","2",0.455161363248771,"big","standard","cco",4,"haddock_model.wppl",1,0.9,0,"allow","bag2"
"268","rabbit","box","2",0.684146032125659,"bigger","standard","cco",4,"haddock_model.wppl",1,0.9,0,"allow","box2"
"1101","rabbit","bag","2",0.315853967874341,"bigger","standard","cco",4,"haddock_model.wppl",1,0.9,0,"allow","bag2"
"1102","rabbit","box","2",1,"big","standard","no-cc",4,"haddock_model.wppl",1,0.9,0,"allow","box2"
"1103","rabbit","box","2",1,"bigger","standard","no-cc",4,"haddock_model.wppl",1,0.9,0,"allow","box2"
"269","rabbit","box","2",0.500714890791611,"big","bumford","cco",4,"haddock_model.wppl",2,0.9,0,"allow","box2"
"1104","rabbit","bag","2",0.499285109208389,"big","bumford","cco",4,"haddock_model.wppl",2,0.9,0,"allow","bag2"
"270","rabbit","box","2",0.502020527049302,"big","bumford","no-cc",4,"haddock_model.wppl",2,0.9,0,"allow","box2"
"1105","rabbit","bag","2",0.497979472950698,"big","bumford","no-cc",4,"haddock_model.wppl",2,0.9,0,"allow","bag2"
"271","rabbit","box","2",0.507080868104581,"big","standard","cco",4,"haddock_model.wppl",2,0.9,0,"allow","box2"
"1106","rabbit","bag","2",0.492919131895419,"big","standard","cco",4,"haddock_model.wppl",2,0.9,0,"allow","bag2"
"1107","rabbit","box","2",1,"big","standard","no-cc",4,"haddock_model.wppl",2,0.9,0,"allow","box2"
"272","rabbit","box","2",0.516042791380934,"big","bumford","cco",4,"haddock_model.wppl",1,0.9,0.5,"allow","box2"
"1108","rabbit","bag","2",0.483957208619066,"big","bumford","cco",4,"haddock_model.wppl",1,0.9,0.5,"allow","bag2"
"273","rabbit","box","2",0.633620689655172,"bigger","bumford","cco",4,"haddock_model.wppl",1,0.9,0.5,"allow","box2"
"1109","rabbit","bag","2",0.366379310344828,"bigger","bumford","cco",4,"haddock_model.wppl",1,0.9,0.5,"allow","bag2"
"274","rabbit","box","2",0.534278006996189,"big","bumford","no-cc",4,"haddock_model.wppl",1,0.9,0.5,"allow","box2"
"1110","rabbit","bag","2",0.465721993003811,"big","bumford","no-cc",4,"haddock_model.wppl",1,0.9,0.5,"allow","bag2"
"1111","rabbit","box","2",1,"bigger","bumford","no-cc",4,"haddock_model.wppl",1,0.9,0.5,"allow","box2"
"275","rabbit","box","2",0.58576350062161,"big","standard","cco",4,"haddock_model.wppl",1,0.9,0.5,"allow","box2"
"1112","rabbit","bag","2",0.41423649937839,"big","standard","cco",4,"haddock_model.wppl",1,0.9,0.5,"allow","bag2"
"276","rabbit","box","2",0.659256124385607,"bigger","standard","cco",4,"haddock_model.wppl",1,0.9,0.5,"allow","box2"
"1113","rabbit","bag","2",0.340743875614394,"bigger","standard","cco",4,"haddock_model.wppl",1,0.9,0.5,"allow","bag2"
"1114","rabbit","box","2",1,"big","standard","no-cc",4,"haddock_model.wppl",1,0.9,0.5,"allow","box2"
"1115","rabbit","box","2",1,"bigger","standard","no-cc",4,"haddock_model.wppl",1,0.9,0.5,"allow","box2"
"277","rabbit","box","2",0.500360429566159,"big","bumford","cco",4,"haddock_model.wppl",2,0.9,0.5,"allow","box2"
"1116","rabbit","bag","2",0.499639570433841,"big","bumford","cco",4,"haddock_model.wppl",2,0.9,0.5,"allow","bag2"
"278","rabbit","box","2",0.501032198752816,"big","bumford","no-cc",4,"haddock_model.wppl",2,0.9,0.5,"allow","box2"
"1117","rabbit","bag","2",0.498967801247184,"big","bumford","no-cc",4,"haddock_model.wppl",2,0.9,0.5,"allow","bag2"
"279","rabbit","box","2",0.507817063761952,"big","standard","cco",4,"haddock_model.wppl",2,0.9,0.5,"allow","box2"
"1118","rabbit","bag","2",0.492182936238048,"big","standard","cco",4,"haddock_model.wppl",2,0.9,0.5,"allow","bag2"
"1119","rabbit","box","2",1,"big","standard","no-cc",4,"haddock_model.wppl",2,0.9,0.5,"allow","box2"
"280","rabbit","box","2",0.503498146877256,"big","bumford","cco",4,"haddock_model.wppl",1,0.9,0.9,"allow","box2"
"1120","rabbit","bag","2",0.496501853122743,"big","bumford","cco",4,"haddock_model.wppl",1,0.9,0.9,"allow","bag2"
"281","rabbit","box","2",0.633620689655172,"bigger","bumford","cco",4,"haddock_model.wppl",1,0.9,0.9,"allow","box2"
"1121","rabbit","bag","2",0.366379310344828,"bigger","bumford","cco",4,"haddock_model.wppl",1,0.9,0.9,"allow","bag2"
"282","rabbit","box","2",0.503991561270754,"big","bumford","no-cc",4,"haddock_model.wppl",1,0.9,0.9,"allow","box2"
"1122","rabbit","bag","2",0.496008438729246,"big","bumford","no-cc",4,"haddock_model.wppl",1,0.9,0.9,"allow","bag2"
"1123","rabbit","box","2",1,"bigger","bumford","no-cc",4,"haddock_model.wppl",1,0.9,0.9,"allow","box2"
"283","rabbit","box","2",0.617205948993296,"big","standard","cco",4,"haddock_model.wppl",1,0.9,0.9,"allow","box2"
"1124","rabbit","bag","2",0.382794051006704,"big","standard","cco",4,"haddock_model.wppl",1,0.9,0.9,"allow","bag2"
"284","rabbit","box","2",0.638809021773526,"bigger","standard","cco",4,"haddock_model.wppl",1,0.9,0.9,"allow","box2"
"1125","rabbit","bag","2",0.361190978226474,"bigger","standard","cco",4,"haddock_model.wppl",1,0.9,0.9,"allow","bag2"
"1126","rabbit","box","2",1,"big","standard","no-cc",4,"haddock_model.wppl",1,0.9,0.9,"allow","box2"
"1127","rabbit","box","2",1,"bigger","standard","no-cc",4,"haddock_model.wppl",1,0.9,0.9,"allow","box2"
"285","rabbit","box","2",0.500072945788976,"big","bumford","cco",4,"haddock_model.wppl",2,0.9,0.9,"allow","box2"
"1128","rabbit","bag","2",0.499927054211024,"big","bumford","cco",4,"haddock_model.wppl",2,0.9,0.9,"allow","bag2"
"286","rabbit","box","2",0.500218290394914,"big","bumford","no-cc",4,"haddock_model.wppl",2,0.9,0.9,"allow","box2"
"1129","rabbit","bag","2",0.499781709605086,"big","bumford","no-cc",4,"haddock_model.wppl",2,0.9,0.9,"allow","bag2"
"287","rabbit","box","2",0.508364807390705,"big","standard","cco",4,"haddock_model.wppl",2,0.9,0.9,"allow","box2"
"1130","rabbit","bag","2",0.491635192609295,"big","standard","cco",4,"haddock_model.wppl",2,0.9,0.9,"allow","bag2"
"1131","rabbit","box","2",1,"big","standard","no-cc",4,"haddock_model.wppl",2,0.9,0.9,"allow","box2"
"288","rabbit","box","2",0.500259707506042,"big","bumford","cco",4,"haddock_model.wppl",1,0.9,1,"allow","box2"
"1132","rabbit","bag","2",0.499740292493958,"big","bumford","cco",4,"haddock_model.wppl",1,0.9,1,"allow","bag2"
"289","rabbit","box","2",0.633620689655172,"bigger","bumford","cco",4,"haddock_model.wppl",1,0.9,1,"allow","box2"
"1133","rabbit","bag","2",0.366379310344828,"bigger","bumford","cco",4,"haddock_model.wppl",1,0.9,1,"allow","bag2"
"1134","rabbit","bag","2",0.50420571044567,"big","bumford","no-cc",4,"haddock_model.wppl",1,0.9,1,"allow","bag2"
"290","rabbit","box","2",0.49579428955433,"big","bumford","no-cc",4,"haddock_model.wppl",1,0.9,1,"allow","box2"
"1135","rabbit","box","2",1,"bigger","bumford","no-cc",4,"haddock_model.wppl",1,0.9,1,"allow","box2"
"291","rabbit","box","2",0.624894260507246,"big","standard","cco",4,"haddock_model.wppl",1,0.9,1,"allow","box2"
"1136","rabbit","bag","2",0.375105739492754,"big","standard","cco",4,"haddock_model.wppl",1,0.9,1,"allow","bag2"
"292","rabbit","box","2",0.633620689655172,"bigger","standard","cco",4,"haddock_model.wppl",1,0.9,1,"allow","box2"
