"","Animal","ContainerType","Size","Probability","Adjective","DefArtMeaning","Context","Condition","Model","ListenerLevel","cmpHighScopeConstrualProb","posHighScopeConstrualProb","allowUninformativeThresholds","NA","Container"
"45","rabbit","box","2",0.469697630027167,"big","standard","cco",3,"haddock_model.wppl",1,0,0.9,"allow","box2","box2"
"162","rabbit","bag","2",0.203004226633764,"big","standard","cco",3,"haddock_model.wppl",1,0,0.9,"allow","bag2","bag2"
"317","rabbit","box","1",0.20175912945559,"big","standard","cco",3,"haddock_model.wppl",1,0,0.9,"allow","box1","box1"
"248","rabbit","bag","1",0.125539013883478,"big","standard","cco",3,"haddock_model.wppl",1,0,0.9,"allow","bag1","bag1"
"249","rabbit","box","2",0.611279362154559,"bigger","standard","cco",1,"haddock_model.wppl",1,0,0.9,"allow","box2","box2"
"163","rabbit","bag","2",0.388720637845441,"bigger","standard","cco",1,"haddock_model.wppl",1,0,0.9,"allow","bag2","bag2"
"164","rabbit","bag","2",0.523754150760982,"bigger","standard","cco",2,"haddock_model.wppl",1,0,0.9,"allow","bag2","bag2"
"250","rabbit","box","2",0.476245849239018,"bigger","standard","cco",2,"haddock_model.wppl",1,0,0.9,"allow","box2","box2"
"251","rabbit","box","2",0.579975117521265,"bigger","standard","cco",3,"haddock_model.wppl",1,0,0.9,"allow","box2","box2"
"165","rabbit","bag","2",0.420024882478735,"bigger","standard","cco",3,"haddock_model.wppl",1,0,0.9,"allow","bag2","bag2"
"166","rabbit","box","2",1,"big","standard","no-cc",1,"haddock_model.wppl",1,0,0.9,"allow","box2","box2"
"252","rabbit","box","2",0.591836734693878,"big","standard","no-cc",2,"haddock_model.wppl",1,0,0.9,"allow","box2","box2"
"167","rabbit","bag","2",0.408163265306123,"big","standard","no-cc",2,"haddock_model.wppl",1,0,0.9,"allow","bag2","bag2"
"168","rabbit","box","2",1,"big","standard","no-cc",3,"haddock_model.wppl",1,0,0.9,"allow","box2","box2"
"169","rabbit","box","2",1,"bigger","standard","no-cc",1,"haddock_model.wppl",1,0,0.9,"allow","box2","box2"
"170","rabbit","bag","2",0.523754150760982,"bigger","standard","no-cc",2,"haddock_model.wppl",1,0,0.9,"allow","bag2","bag2"
"253","rabbit","box","2",0.476245849239018,"bigger","standard","no-cc",2,"haddock_model.wppl",1,0,0.9,"allow","box2","box2"
"171","rabbit","box","2",1,"bigger","standard","no-cc",3,"haddock_model.wppl",1,0,0.9,"allow","box2","box2"
"172","rabbit","bag","2",0.409961308264507,"big","bumford","cco",1,"haddock_model.wppl",1,0,1,"allow","bag2","bag2"
"318","rabbit","box","2",0.367232599928397,"big","bumford","cco",1,"haddock_model.wppl",1,0,1,"allow","box2","box2"
"254","rabbit","bag","1",0.222806091807097,"big","bumford","cco",1,"haddock_model.wppl",1,0,1,"allow","bag1","bag1"
"173","rabbit","bag","2",0.395406077529848,"big","bumford","cco",2,"haddock_model.wppl",1,0,1,"allow","bag2","bag2"
"319","rabbit","box","2",0.366970918882173,"big","bumford","cco",2,"haddock_model.wppl",1,0,1,"allow","box2","box2"
"255","rabbit","bag","1",0.237623003587978,"big","bumford","cco",2,"haddock_model.wppl",1,0,1,"allow","bag1","bag1"
"46","rabbit","box","2",0.38871337979132,"big","bumford","cco",3,"haddock_model.wppl",1,0,1,"allow","box2","box2"
"174","rabbit","bag","2",0.287865174224254,"big","bumford","cco",3,"haddock_model.wppl",1,0,1,"allow","bag2","bag2"
"320","rabbit","box","1",0.166972256406533,"big","bumford","cco",3,"haddock_model.wppl",1,0,1,"allow","box1","box1"
"256","rabbit","bag","1",0.156449189577893,"big","bumford","cco",3,"haddock_model.wppl",1,0,1,"allow","bag1","bag1"
"175","rabbit","bag","2",0.639334637063884,"bigger","bumford","cco",1,"haddock_model.wppl",1,0,1,"allow","bag2","bag2"
"257","rabbit","box","2",0.360665362936116,"bigger","bumford","cco",1,"haddock_model.wppl",1,0,1,"allow","box2","box2"
"176","rabbit","bag","2",0.754036714384735,"bigger","bumford","cco",2,"haddock_model.wppl",1,0,1,"allow","bag2","bag2"
"258","rabbit","box","2",0.245963285615265,"bigger","bumford","cco",2,"haddock_model.wppl",1,0,1,"allow","box2","box2"
"259","rabbit","box","2",0.579975117521265,"bigger","bumford","cco",3,"haddock_model.wppl",1,0,1,"allow","box2","box2"
"177","rabbit","bag","2",0.420024882478735,"bigger","bumford","cco",3,"haddock_model.wppl",1,0,1,"allow","bag2","bag2"
"178","rabbit","bag","2",0.637127141176607,"big","bumford","no-cc",1,"haddock_model.wppl",1,0,1,"allow","bag2","bag2"
"260","rabbit","box","2",0.362872858823393,"big","bumford","no-cc",1,"haddock_model.wppl",1,0,1,"allow","box2","box2"
"179","rabbit","bag","2",0.549516004391113,"big","bumford","no-cc",2,"haddock_model.wppl",1,0,1,"allow","bag2","bag2"
"261","rabbit","box","2",0.450483995608887,"big","bumford","no-cc",2,"haddock_model.wppl",1,0,1,"allow","box2","box2"
"262","rabbit","box","2",0.581502856808318,"big","bumford","no-cc",3,"haddock_model.wppl",1,0,1,"allow","box2","box2"
"180","rabbit","bag","2",0.418497143191682,"big","bumford","no-cc",3,"haddock_model.wppl",1,0,1,"allow","bag2","bag2"
"181","rabbit","box","2",1,"bigger","bumford","no-cc",1,"haddock_model.wppl",1,0,1,"allow","box2","box2"
"182","rabbit","bag","2",0.754036714384735,"bigger","bumford","no-cc",2,"haddock_model.wppl",1,0,1,"allow","bag2","bag2"
"263","rabbit","box","2",0.245963285615265,"bigger","bumford","no-cc",2,"haddock_model.wppl",1,0,1,"allow","box2","box2"
"183","rabbit","box","2",1,"bigger","bumford","no-cc",3,"haddock_model.wppl",1,0,1,"allow","box2","box2"
"321","rabbit","box","2",0.550713935664444,"big","standard","cco",1,"haddock_model.wppl",1,0,1,"allow","box2","box2"
"184","rabbit","bag","2",0.277610246627431,"big","standard","cco",1,"haddock_model.wppl",1,0,1,"allow","bag2","bag2"
"264","rabbit","bag","1",0.171675817708125,"big","standard","cco",1,"haddock_model.wppl",1,0,1,"allow","bag1","bag1"
"322","rabbit","box","2",0.428326722707445,"big","standard","cco",2,"haddock_model.wppl",1,0,1,"allow","box2","box2"
"185","rabbit","bag","2",0.357081680676861,"big","standard","cco",2,"haddock_model.wppl",1,0,1,"allow","bag2","bag2"
"265","rabbit","bag","1",0.214591596615694,"big","standard","cco",2,"haddock_model.wppl",1,0,1,"allow","bag1","bag1"
"47","rabbit","box","2",0.469697630027167,"big","standard","cco",3,"haddock_model.wppl",1,0,1,"allow","box2","box2"
"186","rabbit","bag","2",0.203004226633764,"big","standard","cco",3,"haddock_model.wppl",1,0,1,"allow","bag2","bag2"
"323","rabbit","box","1",0.20175912945559,"big","standard","cco",3,"haddock_model.wppl",1,0,1,"allow","box1","box1"
"266","rabbit","bag","1",0.125539013883478,"big","standard","cco",3,"haddock_model.wppl",1,0,1,"allow","bag1","bag1"
"267","rabbit","box","2",0.608627654393108,"bigger","standard","cco",1,"haddock_model.wppl",1,0,1,"allow","box2","box2"
"187","rabbit","bag","2",0.391372345606892,"bigger","standard","cco",1,"haddock_model.wppl",1,0,1,"allow","bag2","bag2"
"188","rabbit","bag","2",0.52653356357205,"bigger","standard","cco",2,"haddock_model.wppl",1,0,1,"allow","bag2","bag2"
"268","rabbit","box","2",0.47346643642795,"bigger","standard","cco",2,"haddock_model.wppl",1,0,1,"allow","box2","box2"
"269","rabbit","box","2",0.579975117521265,"bigger","standard","cco",3,"haddock_model.wppl",1,0,1,"allow","box2","box2"
"189","rabbit","bag","2",0.420024882478735,"bigger","standard","cco",3,"haddock_model.wppl",1,0,1,"allow","bag2","bag2"
"190","rabbit","box","2",1,"big","standard","no-cc",1,"haddock_model.wppl",1,0,1,"allow","box2","box2"
"270","rabbit","box","2",0.6,"big","standard","no-cc",2,"haddock_model.wppl",1,0,1,"allow","box2","box2"
"191","rabbit","bag","2",0.4,"big","standard","no-cc",2,"haddock_model.wppl",1,0,1,"allow","bag2","bag2"
"192","rabbit","box","2",1,"big","standard","no-cc",3,"haddock_model.wppl",1,0,1,"allow","box2","box2"
"193","rabbit","box","2",1,"bigger","standard","no-cc",1,"haddock_model.wppl",1,0,1,"allow","box2","box2"
"194","rabbit","bag","2",0.526533563572051,"bigger","standard","no-cc",2,"haddock_model.wppl",1,0,1,"allow","bag2","bag2"
"271","rabbit","box","2",0.473466436427949,"bigger","standard","no-cc",2,"haddock_model.wppl",1,0,1,"allow","box2","box2"
"195","rabbit","box","2",1,"bigger","standard","no-cc",3,"haddock_model.wppl",1,0,1,"allow","box2","box2"
"324","rabbit","box","2",0.433913733187179,"big","bumford","cco",1,"haddock_model.wppl",1,0.5,0,"allow","box2","box2"
"196","rabbit","bag","2",0.360266055270351,"big","bumford","cco",1,"haddock_model.wppl",1,0.5,0,"allow","bag2","bag2"
"272","rabbit","bag","1",0.205820211542469,"big","bumford","cco",1,"haddock_model.wppl",1,0.5,0,"allow","bag1","bag1"
"325","rabbit","box","2",0.403017919281994,"big","bumford","cco",2,"haddock_model.wppl",1,0.5,0,"allow","box2","box2"
"197","rabbit","bag","2",0.37289020352033,"big","bumford","cco",2,"haddock_model.wppl",1,0.5,0,"allow","bag2","bag2"
"273","rabbit","bag","1",0.224091877197676,"big","bumford","cco",2,"haddock_model.wppl",1,0.5,0,"allow","bag1","bag1"
"48","rabbit","box","2",0.410274467817385,"big","bumford","cco",3,"haddock_model.wppl",1,0.5,0,"allow","box2","box2"
"198","rabbit","bag","2",0.263152504584722,"big","bumford","cco",3,"haddock_model.wppl",1,0.5,0,"allow","bag2","bag2"
"326","rabbit","box","1",0.176233845292989,"big","bumford","cco",3,"haddock_model.wppl",1,0.5,0,"allow","box1","box1"
"274","rabbit","bag","1",0.150339182304904,"big","bumford","cco",3,"haddock_model.wppl",1,0.5,0,"allow","bag1","bag1"
"199","rabbit","bag","2",0.830607768746667,"bigger","bumford","cco",1,"haddock_model.wppl",1,0.5,0,"allow","bag2","bag2"
"275","rabbit","box","2",0.169392231253333,"bigger","bumford","cco",1,"haddock_model.wppl",1,0.5,0,"allow","box2","box2"
"1100","rabbit","bag","2",0.859773011820028,"bigger","bumford","cco",2,"haddock_model.wppl",1,0.5,0,"allow","bag2","bag2"
"276","rabbit","box","2",0.140226988179972,"bigger","bumford","cco",2,"haddock_model.wppl",1,0.5,0,"allow","box2","box2"
"1101","rabbit","bag","2",0.500411221075144,"bigger","bumford","cco",3,"haddock_model.wppl",1,0.5,0,"allow","bag2","bag2"
"277","rabbit","box","2",0.499588778924856,"bigger","bumford","cco",3,"haddock_model.wppl",1,0.5,0,"allow","box2","box2"
"278","rabbit","box","2",0.567945216588697,"big","bumford","no-cc",1,"haddock_model.wppl",1,0.5,0,"allow","box2","box2"
"1102","rabbit","bag","2",0.432054783411303,"big","bumford","no-cc",1,"haddock_model.wppl",1,0.5,0,"allow","bag2","bag2"
"279","rabbit","box","2",0.545965022235165,"big","bumford","no-cc",2,"haddock_model.wppl",1,0.5,0,"allow","box2","box2"
