"","Animal","ContainerType","Size","Probability","Adjective","DefArtMeaning","Context","Condition","Model","ListenerLevel","cmpHighScopeConstrualProb","posHighScopeConstrualProb","allowUninformativeThresholds","Container"
"210","rabbit","bag","1",0.18898747147229,"big","standard","cco",1,"haddock_model.wppl",1,0,0,"allow","bag1"
"34","rabbit","box","2",0.384473512214209,"big","standard","cco",2,"haddock_model.wppl",1,0,0,"allow","box2"
"113","rabbit","bag","2",0.384473512214208,"big","standard","cco",2,"haddock_model.wppl",1,0,0,"allow","bag2"
"211","rabbit","bag","1",0.231052975571583,"big","standard","cco",2,"haddock_model.wppl",1,0,0,"allow","bag1"
"41","rabbit","box","2",0.469697630027167,"big","standard","cco",3,"haddock_model.wppl",1,0,0,"allow","box2"
"114","rabbit","bag","2",0.203004226633764,"big","standard","cco",3,"haddock_model.wppl",1,0,0,"allow","bag2"
"35","rabbit","box","1",0.20175912945559,"big","standard","cco",3,"haddock_model.wppl",1,0,0,"allow","box1"
"212","rabbit","bag","1",0.125539013883478,"big","standard","cco",3,"haddock_model.wppl",1,0,0,"allow","bag1"
"213","rabbit","box","2",0.633620689655172,"bigger","standard","cco",1,"haddock_model.wppl",1,0,0,"allow","box2"
"115","rabbit","bag","2",0.366379310344828,"bigger","standard","cco",1,"haddock_model.wppl",1,0,0,"allow","bag2"
"116","rabbit","bag","2",0.5,"bigger","standard","cco",2,"haddock_model.wppl",1,0,0,"allow","bag2"
"214","rabbit","box","2",0.5,"bigger","standard","cco",2,"haddock_model.wppl",1,0,0,"allow","box2"
"215","rabbit","box","2",0.579975117521265,"bigger","standard","cco",3,"haddock_model.wppl",1,0,0,"allow","box2"
"117","rabbit","bag","2",0.420024882478735,"bigger","standard","cco",3,"haddock_model.wppl",1,0,0,"allow","bag2"
"118","rabbit","box","2",1,"big","standard","no-cc",1,"haddock_model.wppl",1,0,0,"allow","box2"
"119","rabbit","bag","2",0.5,"big","standard","no-cc",2,"haddock_model.wppl",1,0,0,"allow","bag2"
"216","rabbit","box","2",0.5,"big","standard","no-cc",2,"haddock_model.wppl",1,0,0,"allow","box2"
"120","rabbit","box","2",1,"big","standard","no-cc",3,"haddock_model.wppl",1,0,0,"allow","box2"
"121","rabbit","box","2",1,"bigger","standard","no-cc",1,"haddock_model.wppl",1,0,0,"allow","box2"
"122","rabbit","bag","2",0.5,"bigger","standard","no-cc",2,"haddock_model.wppl",1,0,0,"allow","bag2"
"217","rabbit","box","2",0.5,"bigger","standard","no-cc",2,"haddock_model.wppl",1,0,0,"allow","box2"
"123","rabbit","box","2",1,"bigger","standard","no-cc",3,"haddock_model.wppl",1,0,0,"allow","box2"
"36","rabbit","box","2",0.419612498080018,"big","bumford","cco",1,"haddock_model.wppl",2,0,0,"allow","box2"
"218","rabbit","bag","2",0.361672908421714,"big","bumford","cco",1,"haddock_model.wppl",2,0,0,"allow","bag2"
"124","rabbit","bag","1",0.218714593498267,"big","bumford","cco",1,"haddock_model.wppl",2,0,0,"allow","bag1"
"37","rabbit","box","2",0.418682621707161,"big","bumford","cco",2,"haddock_model.wppl",2,0,0,"allow","box2"
"219","rabbit","bag","2",0.363105631647787,"big","bumford","cco",2,"haddock_model.wppl",2,0,0,"allow","bag2"
"125","rabbit","bag","1",0.218211746645052,"big","bumford","cco",2,"haddock_model.wppl",2,0,0,"allow","bag1"
"38","rabbit","box","2",0.35107075896704,"big","bumford","cco",3,"haddock_model.wppl",2,0,0,"allow","box2"
"220","rabbit","bag","2",0.310392001854647,"big","bumford","cco",3,"haddock_model.wppl",2,0,0,"allow","bag2"
"126","rabbit","bag","1",0.187734411617939,"big","bumford","cco",3,"haddock_model.wppl",2,0,0,"allow","bag1"
"42","rabbit","box","1",0.150802827560374,"big","bumford","cco",3,"haddock_model.wppl",2,0,0,"allow","box1"
"127","rabbit","bag","2",1,"bigger","bumford","cco",1,"haddock_model.wppl",2,0,0,"allow","bag2"
"128","rabbit","bag","2",1,"bigger","bumford","cco",2,"haddock_model.wppl",2,0,0,"allow","bag2"
"221","rabbit","box","2",0.500985909381044,"bigger","bumford","cco",3,"haddock_model.wppl",2,0,0,"allow","box2"
"129","rabbit","bag","2",0.499014090618956,"bigger","bumford","cco",3,"haddock_model.wppl",2,0,0,"allow","bag2"
"130","rabbit","bag","2",0.647118500301378,"big","bumford","no-cc",1,"haddock_model.wppl",2,0,0,"allow","bag2"
"222","rabbit","box","2",0.352881499698622,"big","bumford","no-cc",1,"haddock_model.wppl",2,0,0,"allow","box2"
"131","rabbit","bag","2",0.648112626982688,"big","bumford","no-cc",2,"haddock_model.wppl",2,0,0,"allow","bag2"
"223","rabbit","box","2",0.351887373017312,"big","bumford","no-cc",2,"haddock_model.wppl",2,0,0,"allow","box2"
"224","rabbit","box","2",0.502984037328335,"big","bumford","no-cc",3,"haddock_model.wppl",2,0,0,"allow","box2"
"132","rabbit","bag","2",0.497015962671665,"big","bumford","no-cc",3,"haddock_model.wppl",2,0,0,"allow","bag2"
"133","rabbit","bag","2",1,"bigger","bumford","no-cc",1,"haddock_model.wppl",2,0,0,"allow","bag2"
"134","rabbit","bag","2",1,"bigger","bumford","no-cc",2,"haddock_model.wppl",2,0,0,"allow","bag2"
"135","rabbit","bag","2",0.503061178635109,"bigger","bumford","no-cc",3,"haddock_model.wppl",2,0,0,"allow","bag2"
"225","rabbit","box","2",0.496938821364891,"bigger","bumford","no-cc",3,"haddock_model.wppl",2,0,0,"allow","box2"
"39","rabbit","box","2",0.408739818402067,"big","standard","cco",1,"haddock_model.wppl",2,0,0,"allow","box2"
"226","rabbit","bag","2",0.363666347899452,"big","standard","cco",1,"haddock_model.wppl",2,0,0,"allow","bag2"
"136","rabbit","bag","1",0.227593833698481,"big","standard","cco",1,"haddock_model.wppl",2,0,0,"allow","bag1"
"310","rabbit","box","2",0.394665904571701,"big","standard","cco",2,"haddock_model.wppl",2,0,0,"allow","box2"
"227","rabbit","bag","2",0.378107084505067,"big","standard","cco",2,"haddock_model.wppl",2,0,0,"allow","bag2"
"137","rabbit","bag","1",0.227227010923233,"big","standard","cco",2,"haddock_model.wppl",2,0,0,"allow","bag1"
"311","rabbit","box","2",0.361019273633105,"big","standard","cco",3,"haddock_model.wppl",2,0,0,"allow","box2"
"228","rabbit","bag","2",0.297696353389448,"big","standard","cco",3,"haddock_model.wppl",2,0,0,"allow","bag2"
"138","rabbit","bag","1",0.186209659511921,"big","standard","cco",3,"haddock_model.wppl",2,0,0,"allow","bag1"
"43","rabbit","box","1",0.155074713465526,"big","standard","cco",3,"haddock_model.wppl",2,0,0,"allow","box1"
"139","rabbit","bag","2",1,"bigger","standard","cco",1,"haddock_model.wppl",2,0,0,"allow","bag2"
"140","rabbit","bag","2",1,"bigger","standard","cco",2,"haddock_model.wppl",2,0,0,"allow","bag2"
"229","rabbit","box","2",0.512824323858826,"bigger","standard","cco",3,"haddock_model.wppl",2,0,0,"allow","box2"
"141","rabbit","bag","2",0.487175676141174,"bigger","standard","cco",3,"haddock_model.wppl",2,0,0,"allow","bag2"
"142","rabbit","box","2",1,"big","standard","no-cc",1,"haddock_model.wppl",2,0,0,"allow","box2"
"230","rabbit","box","2",0.539708175377682,"big","standard","no-cc",2,"haddock_model.wppl",2,0,0,"allow","box2"
"143","rabbit","bag","2",0.460291824622318,"big","standard","no-cc",2,"haddock_model.wppl",2,0,0,"allow","bag2"
"144","rabbit","box","2",1,"big","standard","no-cc",3,"haddock_model.wppl",2,0,0,"allow","box2"
"145","rabbit","bag","2",1,"bigger","standard","no-cc",1,"haddock_model.wppl",2,0,0,"allow","bag2"
"146","rabbit","bag","2",1,"bigger","standard","no-cc",2,"haddock_model.wppl",2,0,0,"allow","bag2"
"147","rabbit","bag","2",0.683734665976474,"bigger","standard","no-cc",3,"haddock_model.wppl",2,0,0,"allow","bag2"
"231","rabbit","box","2",0.316265334023526,"bigger","standard","no-cc",3,"haddock_model.wppl",2,0,0,"allow","box2"
"312","rabbit","box","2",0.394870098755235,"big","bumford","cco",1,"haddock_model.wppl",1,0,0.5,"allow","box2"
"148","rabbit","bag","2",0.391517692724133,"big","bumford","cco",1,"haddock_model.wppl",1,0,0.5,"allow","bag2"
"232","rabbit","bag","1",0.213612208520632,"big","bumford","cco",1,"haddock_model.wppl",1,0,0.5,"allow","bag1"
"149","rabbit","bag","2",0.387061804610453,"big","bumford","cco",2,"haddock_model.wppl",1,0,0.5,"allow","bag2"
"313","rabbit","box","2",0.380329761143171,"big","bumford","cco",2,"haddock_model.wppl",1,0,0.5,"allow","box2"
"233","rabbit","bag","1",0.232608434246376,"big","bumford","cco",2,"haddock_model.wppl",1,0,0.5,"allow","bag1"
"44","rabbit","box","2",0.399061786838694,"big","bumford","cco",3,"haddock_model.wppl",1,0,0.5,"allow","box2"
"150","rabbit","bag","2",0.277898988700101,"big","bumford","cco",3,"haddock_model.wppl",1,0,0.5,"allow","bag2"
"314","rabbit","box","1",0.171417425944666,"big","bumford","cco",3,"haddock_model.wppl",1,0,0.5,"allow","box1"
"234","rabbit","bag","1",0.151621798516539,"big","bumford","cco",3,"haddock_model.wppl",1,0,0.5,"allow","bag1"
"151","rabbit","bag","2",0.639334637063884,"bigger","bumford","cco",1,"haddock_model.wppl",1,0,0.5,"allow","bag2"
"235","rabbit","box","2",0.360665362936116,"bigger","bumford","cco",1,"haddock_model.wppl",1,0,0.5,"allow","box2"
"152","rabbit","bag","2",0.754036714384735,"bigger","bumford","cco",2,"haddock_model.wppl",1,0,0.5,"allow","bag2"
"236","rabbit","box","2",0.245963285615265,"bigger","bumford","cco",2,"haddock_model.wppl",1,0,0.5,"allow","box2"
"237","rabbit","box","2",0.579975117521265,"bigger","bumford","cco",3,"haddock_model.wppl",1,0,0.5,"allow","box2"
"153","rabbit","bag","2",0.420024882478735,"bigger","bumford","cco",3,"haddock_model.wppl",1,0,0.5,"allow","bag2"
"154","rabbit","bag","2",0.568377546155158,"big","bumford","no-cc",1,"haddock_model.wppl",1,0,0.5,"allow","bag2"
"238","rabbit","box","2",0.431622453844842,"big","bumford","no-cc",1,"haddock_model.wppl",1,0,0.5,"allow","box2"
"155","rabbit","bag","2",0.51113932359047,"big","bumford","no-cc",2,"haddock_model.wppl",1,0,0.5,"allow","bag2"
"239","rabbit","box","2",0.48886067640953,"big","bumford","no-cc",2,"haddock_model.wppl",1,0,0.5,"allow","box2"
"240","rabbit","box","2",0.61360167533129,"big","bumford","no-cc",3,"haddock_model.wppl",1,0,0.5,"allow","box2"
"156","rabbit","bag","2",0.38639832466871,"big","bumford","no-cc",3,"haddock_model.wppl",1,0,0.5,"allow","bag2"
"157","rabbit","box","2",1,"bigger","bumford","no-cc",1,"haddock_model.wppl",1,0,0.5,"allow","box2"
"158","rabbit","bag","2",0.754036714384735,"bigger","bumford","no-cc",2,"haddock_model.wppl",1,0,0.5,"allow","bag2"
"241","rabbit","box","2",0.245963285615265,"bigger","bumford","no-cc",2,"haddock_model.wppl",1,0,0.5,"allow","box2"
"159","rabbit","box","2",1,"bigger","bumford","no-cc",3,"haddock_model.wppl",1,0,0.5,"allow","box2"
"315","rabbit","box","2",0.529148433934238,"big","standard","cco",1,"haddock_model.wppl",1,0,0.5,"allow","box2"
"160","rabbit","bag","2",0.290935396747145,"big","standard","cco",1,"haddock_model.wppl",1,0,0.5,"allow","bag2"
"242","rabbit","bag","1",0.179916169318616,"big","standard","cco",1,"haddock_model.wppl",1,0,0.5,"allow","bag1"
"316","rabbit","box","2",0.407210050265369,"big","standard","cco",2,"haddock_model.wppl",1,0,0.5,"allow","box2"
"161","rabbit","bag","2",0.370271691799351,"big","standard","cco",2,"haddock_model.wppl",1,0,0.5,"allow","bag2"
"243","rabbit","bag","1",0.22251825793528,"big","standard","cco",2,"haddock_model.wppl",1,0,0.5,"allow","bag1"
"45","rabbit","box","2",0.469697630027167,"big","standard","cco",3,"haddock_model.wppl",1,0,0.5,"allow","box2"
"162","rabbit","bag","2",0.203004226633764,"big","standard","cco",3,"haddock_model.wppl",1,0,0.5,"allow","bag2"
"317","rabbit","box","1",0.20175912945559,"big","standard","cco",3,"haddock_model.wppl",1,0,0.5,"allow","box1"
"244","rabbit","bag","1",0.125539013883478,"big","standard","cco",3,"haddock_model.wppl",1,0,0.5,"allow","bag1"
"245","rabbit","box","2",0.621536346518715,"bigger","standard","cco",1,"haddock_model.wppl",1,0,0.5,"allow","box2"
"163","rabbit","bag","2",0.378463653481285,"bigger","standard","cco",1,"haddock_model.wppl",1,0,0.5,"allow","bag2"
"164","rabbit","bag","2",0.512923865577138,"bigger","standard","cco",2,"haddock_model.wppl",1,0,0.5,"allow","bag2"
"246","rabbit","box","2",0.487076134422862,"bigger","standard","cco",2,"haddock_model.wppl",1,0,0.5,"allow","box2"
"247","rabbit","box","2",0.579975117521265,"bigger","standard","cco",3,"haddock_model.wppl",1,0,0.5,"allow","box2"
"165","rabbit","bag","2",0.420024882478735,"bigger","standard","cco",3,"haddock_model.wppl",1,0,0.5,"allow","bag2"
"166","rabbit","box","2",1,"big","standard","no-cc",1,"haddock_model.wppl",1,0,0.5,"allow","box2"
"248","rabbit","box","2",0.555555555555556,"big","standard","no-cc",2,"haddock_model.wppl",1,0,0.5,"allow","box2"
"167","rabbit","bag","2",0.444444444444444,"big","standard","no-cc",2,"haddock_model.wppl",1,0,0.5,"allow","bag2"
"168","rabbit","box","2",1,"big","standard","no-cc",3,"haddock_model.wppl",1,0,0.5,"allow","box2"
"169","rabbit","box","2",1,"bigger","standard","no-cc",1,"haddock_model.wppl",1,0,0.5,"allow","box2"
"170","rabbit","bag","2",0.512923865577138,"bigger","standard","no-cc",2,"haddock_model.wppl",1,0,0.5,"allow","bag2"
"249","rabbit","box","2",0.487076134422862,"bigger","standard","no-cc",2,"haddock_model.wppl",1,0,0.5,"allow","box2"
"171","rabbit","box","2",1,"bigger","standard","no-cc",3,"haddock_model.wppl",1,0,0.5,"allow","box2"
"318","rabbit","box","2",0.418822379504918,"big","bumford","cco",1,"haddock_model.wppl",2,0,0.5,"allow","box2"
"250","rabbit","bag","2",0.362525139514494,"big","bumford","cco",1,"haddock_model.wppl",2,0,0.5,"allow","bag2"
"172","rabbit","bag","1",0.218652480980588,"big","bumford","cco",1,"haddock_model.wppl",2,0,0.5,"allow","bag1"
"319","rabbit","box","2",0.418363973089937,"big","bumford","cco",2,"haddock_model.wppl",2,0,0.5,"allow","box2"
"251","rabbit","bag","2",0.363304667685158,"big","bumford","cco",2,"haddock_model.wppl",2,0,0.5,"allow","bag2"
"173","rabbit","bag","1",0.218331359224904,"big","bumford","cco",2,"haddock_model.wppl",2,0,0.5,"allow","bag1"
"320","rabbit","box","2",0.350661412760111,"big","bumford","cco",3,"haddock_model.wppl",2,0,0.5,"allow","box2"
"252","rabbit","bag","2",0.311074662172841,"big","bumford","cco",3,"haddock_model.wppl",2,0,0.5,"allow","bag2"
"174","rabbit","bag","1",0.187636932616489,"big","bumford","cco",3,"haddock_model.wppl",2,0,0.5,"allow","bag1"
"46","rabbit","box","1",0.150626992450559,"big","bumford","cco",3,"haddock_model.wppl",2,0,0.5,"allow","box1"
"175","rabbit","bag","2",1,"bigger","bumford","cco",1,"haddock_model.wppl",2,0,0.5,"allow","bag2"
"176","rabbit","bag","2",1,"bigger","bumford","cco",2,"haddock_model.wppl",2,0,0.5,"allow","bag2"
"253","rabbit","box","2",0.500092183745488,"bigger","bumford","cco",3,"haddock_model.wppl",2,0,0.5,"allow","box2"
"177","rabbit","bag","2",0.499907816254512,"bigger","bumford","cco",3,"haddock_model.wppl",2,0,0.5,"allow","bag2"
"178","rabbit","bag","2",0.648593909088043,"big","bumford","no-cc",1,"haddock_model.wppl",2,0,0.5,"allow","bag2"
"254","rabbit","box","2",0.351406090911957,"big","bumford","no-cc",1,"haddock_model.wppl",2,0,0.5,"allow","box2"
"179","rabbit","bag","2",0.649020125747622,"big","bumford","no-cc",2,"haddock_model.wppl",2,0,0.5,"allow","bag2"
"255","rabbit","box","2",0.350979874252378,"big","bumford","no-cc",2,"haddock_model.wppl",2,0,0.5,"allow","box2"
"256","rabbit","box","2",0.502311449738493,"big","bumford","no-cc",3,"haddock_model.wppl",2,0,0.5,"allow","box2"
"180","rabbit","bag","2",0.497688550261507,"big","bumford","no-cc",3,"haddock_model.wppl",2,0,0.5,"allow","bag2"
"181","rabbit","bag","2",1,"bigger","bumford","no-cc",1,"haddock_model.wppl",2,0,0.5,"allow","bag2"
"182","rabbit","bag","2",1,"bigger","bumford","no-cc",2,"haddock_model.wppl",2,0,0.5,"allow","bag2"
"183","rabbit","bag","2",0.502385222887586,"bigger","bumford","no-cc",3,"haddock_model.wppl",2,0,0.5,"allow","bag2"
"257","rabbit","box","2",0.497614777112414,"bigger","bumford","no-cc",3,"haddock_model.wppl",2,0,0.5,"allow","box2"
"321","rabbit","box","2",0.409141744025739,"big","standard","cco",1,"haddock_model.wppl",2,0,0.5,"allow","box2"
"258","rabbit","bag","2",0.36298561389731,"big","standard","cco",1,"haddock_model.wppl",2,0,0.5,"allow","bag2"
"184","rabbit","bag","1",0.227872642076951,"big","standard","cco",1,"haddock_model.wppl",2,0,0.5,"allow","bag1"
"322","rabbit","box","2",0.394968136651575,"big","standard","cco",2,"haddock_model.wppl",2,0,0.5,"allow","box2"
"259","rabbit","bag","2",0.377918302654798,"big","standard","cco",2,"haddock_model.wppl",2,0,0.5,"allow","bag2"
"185","rabbit","bag","1",0.227113560693626,"big","standard","cco",2,"haddock_model.wppl",2,0,0.5,"allow","bag1"
"323","rabbit","box","2",0.36111307214741,"big","standard","cco",3,"haddock_model.wppl",2,0,0.5,"allow","box2"
"260","rabbit","bag","2",0.29726961756462,"big","standard","cco",3,"haddock_model.wppl",2,0,0.5,"allow","bag2"
"186","rabbit","bag","1",0.186502305960455,"big","standard","cco",3,"haddock_model.wppl",2,0,0.5,"allow","bag1"
"47","rabbit","box","1",0.155115004327515,"big","standard","cco",3,"haddock_model.wppl",2,0,0.5,"allow","box1"
"187","rabbit","bag","2",1,"bigger","standard","cco",1,"haddock_model.wppl",2,0,0.5,"allow","bag2"
"188","rabbit","bag","2",1,"bigger","standard","cco",2,"haddock_model.wppl",2,0,0.5,"allow","bag2"
"261","rabbit","box","2",0.513254932700385,"bigger","standard","cco",3,"haddock_model.wppl",2,0,0.5,"allow","box2"
"189","rabbit","bag","2",0.486745067299615,"bigger","standard","cco",3,"haddock_model.wppl",2,0,0.5,"allow","bag2"
"190","rabbit","box","2",1,"big","standard","no-cc",1,"haddock_model.wppl",2,0,0.5,"allow","box2"
"262","rabbit","box","2",0.539935754035537,"big","standard","no-cc",2,"haddock_model.wppl",2,0,0.5,"allow","box2"
"191","rabbit","bag","2",0.460064245964463,"big","standard","no-cc",2,"haddock_model.wppl",2,0,0.5,"allow","bag2"
"192","rabbit","box","2",1,"big","standard","no-cc",3,"haddock_model.wppl",2,0,0.5,"allow","box2"
"193","rabbit","bag","2",1,"bigger","standard","no-cc",1,"haddock_model.wppl",2,0,0.5,"allow","bag2"
"194","rabbit","bag","2",1,"bigger","standard","no-cc",2,"haddock_model.wppl",2,0,0.5,"allow","bag2"
"195","rabbit","bag","2",0.683734116664968,"bigger","standard","no-cc",3,"haddock_model.wppl",2,0,0.5,"allow","bag2"
"263","rabbit","box","2",0.316265883335032,"bigger","standard","no-cc",3,"haddock_model.wppl",2,0,0.5,"allow","box2"
"196","rabbit","bag","2",0.406318043855847,"big","bumford","cco",1,"haddock_model.wppl",1,0,0.9,"allow","bag2"
"324","rabbit","box","2",0.372691980471206,"big","bumford","cco",1,"haddock_model.wppl",1,0,0.9,"allow","box2"
"264","rabbit","bag","1",0.220989975672946,"big","bumford","cco",1,"haddock_model.wppl",1,0,0.9,"allow","bag1"
"197","rabbit","bag","2",0.393708564793531,"big","bumford","cco",2,"haddock_model.wppl",1,0,0.9,"allow","bag2"
"325","rabbit","box","2",0.36968856787323,"big","bumford","cco",2,"haddock_model.wppl",1,0,0.9,"allow","box2"
"265","rabbit","bag","1",0.236602867333239,"big","bumford","cco",2,"haddock_model.wppl",1,0,0.9,"allow","bag1"
"48","rabbit","box","2",0.390739900834852,"big","bumford","cco",3,"haddock_model.wppl",1,0,0.9,"allow","box2"
"198","rabbit","bag","2",0.285913503344284,"big","bumford","cco",3,"haddock_model.wppl",1,0,0.9,"allow","bag2"
"326","rabbit","box","1",0.167842750731877,"big","bumford","cco",3,"haddock_model.wppl",1,0,0.9,"allow","box1"
"266","rabbit","bag","1",0.155503845088987,"big","bumford","cco",3,"haddock_model.wppl",1,0,0.9,"allow","bag1"
"199","rabbit","bag","2",0.639334637063884,"bigger","bumford","cco",1,"haddock_model.wppl",1,0,0.9,"allow","bag2"
"267","rabbit","box","2",0.360665362936116,"bigger","bumford","cco",1,"haddock_model.wppl",1,0,0.9,"allow","box2"
"1100","rabbit","bag","2",0.754036714384735,"bigger","bumford","cco",2,"haddock_model.wppl",1,0,0.9,"allow","bag2"
"268","rabbit","box","2",0.245963285615265,"bigger","bumford","cco",2,"haddock_model.wppl",1,0,0.9,"allow","box2"
"269","rabbit","box","2",0.579975117521265,"bigger","bumford","cco",3,"haddock_model.wppl",1,0,0.9,"allow","box2"
"1101","rabbit","bag","2",0.420024882478735,"bigger","bumford","cco",3,"haddock_model.wppl",1,0,0.9,"allow","bag2"
"1102","rabbit","bag","2",0.623588814752866,"big","bumford","no-cc",1,"haddock_model.wppl",1,0,0.9,"allow","bag2"
"270","rabbit","box","2",0.376411185247134,"big","bumford","no-cc",1,"haddock_model.wppl",1,0,0.9,"allow","box2"
"1103","rabbit","bag","2",0.541386473006823,"big","bumford","no-cc",2,"haddock_model.wppl",1,0,0.9,"allow","bag2"
"271","rabbit","box","2",0.458613526993177,"big","bumford","no-cc",2,"haddock_model.wppl",1,0,0.9,"allow","box2"
"272","rabbit","box","2",0.587651114624916,"big","bumford","no-cc",3,"haddock_model.wppl",1,0,0.9,"allow","box2"
"1104","rabbit","bag","2",0.412348885375084,"big","bumford","no-cc",3,"haddock_model.wppl",1,0,0.9,"allow","bag2"
"1105","rabbit","box","2",1,"bigger","bumford","no-cc",1,"haddock_model.wppl",1,0,0.9,"allow","box2"
"1106","rabbit","bag","2",0.754036714384735,"bigger","bumford","no-cc",2,"haddock_model.wppl",1,0,0.9,"allow","bag2"
"273","rabbit","box","2",0.245963285615265,"bigger","bumford","no-cc",2,"haddock_model.wppl",1,0,0.9,"allow","box2"
"1107","rabbit","box","2",1,"bigger","bumford","no-cc",3,"haddock_model.wppl",1,0,0.9,"allow","box2"
"327","rabbit","box","2",0.546560332002701,"big","standard","cco",1,"haddock_model.wppl",1,0,0.9,"allow","box2"
"1108","rabbit","bag","2",0.280176724932594,"big","standard","cco",1,"haddock_model.wppl",1,0,0.9,"allow","bag2"
"274","rabbit","bag","1",0.173262943064705,"big","standard","cco",1,"haddock_model.wppl",1,0,0.9,"allow","bag1"
"328","rabbit","box","2",0.424224608510762,"big","standard","cco",2,"haddock_model.wppl",1,0,0.9,"allow","box2"
"1109","rabbit","bag","2",0.359643965621536,"big","standard","cco",2,"haddock_model.wppl",1,0,0.9,"allow","bag2"
"275","rabbit","bag","1",0.216131425867702,"big","standard","cco",2,"haddock_model.wppl",1,0,0.9,"allow","bag1"
"49","rabbit","box","2",0.469697630027167,"big","standard","cco",3,"haddock_model.wppl",1,0,0.9,"allow","box2"
"1110","rabbit","bag","2",0.203004226633764,"big","standard","cco",3,"haddock_model.wppl",1,0,0.9,"allow","bag2"
"329","rabbit","box","1",0.20175912945559,"big","standard","cco",3,"haddock_model.wppl",1,0,0.9,"allow","box1"
"276","rabbit","bag","1",0.125539013883478,"big","standard","cco",3,"haddock_model.wppl",1,0,0.9,"allow","bag1"
"277","rabbit","box","2",0.611279362154559,"bigger","standard","cco",1,"haddock_model.wppl",1,0,0.9,"allow","box2"
"1111","rabbit","bag","2",0.388720637845441,"bigger","standard","cco",1,"haddock_model.wppl",1,0,0.9,"allow","bag2"
"1112","rabbit","bag","2",0.523754150760982,"bigger","standard","cco",2,"haddock_model.wppl",1,0,0.9,"allow","bag2"
"278","rabbit","box","2",0.476245849239018,"bigger","standard","cco",2,"haddock_model.wppl",1,0,0.9,"allow","box2"
